NonTerminal                 | First Set                                                          | Follow Set

Start_                      |  main class identifier                                             |  ∅
Program_                    |  main class identifier                                             |  ∅
ClassDecls_                 |  class                                                             |  identifier main
ClassDecl_                  |  class                                                             |  class identifier main
FuncDefs_                   |  identifier                                                        |  main
FuncDef_                    |  identifier                                                        |  identifier main
MemberDecls_                |  public private                                                    |  closeCurlyBrace
MemberDecl_                 |  identifier integer  float                                         |  public private closeCurlyBrace
FuncOrVarDecl_              |  openBrace identifier                                              |  public private closeCurlyBrace
Visibility_                 |  public private                                                    |  identifier integer float
StatementVarOrFuncCall_     |  openBrace period  openSquareBrace                                 |  closeBrace
StatementVarExt_            |  period                                                            |  closeBrace
StatementFunctionCall_      |  period                                                            |  closeBrace
StatementVar_               |  identifier                                                        |  closeBrace
VarOrFuncCallExt_           |  openBrace equal period openSquareBrace                            |  end if while read write return identifier else semiColon
VarExt_                     |  equal  period                                                     |  end if while read write return identifier else semiColon
FuncCallExt_                |  semiColon  period                                                 |  end if while read write return identifier else semiColon
AssignStatementOrFuncCall_  |  identifier                                                        |  end if while read write return identifier else semiColon
OptionalInherits_           |  inherits                                                          |  openCurlyBrace
BoolExpr_                   |  intNum floatNum openBrace not identifier plus minus               |  closeBrace
FuncDecl_                   |  openBrace                                                         |  public private closeCurlyBrace
BoolExprOrNone_             |  equalEqual lesserGreater lesser greater lesserEqual greaterEqual  |  closeBrace semiColon comma
AddOp_                      |  plus minus or                                                     |  intNum floatNum openBrace not identifier plus minus
RightArithExpr_             |  plus minus or                                                     |  equalEqual lesserGreater lesser greater lesserEqual greaterEqual closeSquareBrace semiColon comma closeBrace
FuncSig_                    |  identifier                                                        |  do local
FuncSigNamespace_           |  colonColon openBrace                                              |  do local
FuncSigExt_                 |  openBrace                                                         |  do local
FuncParams_                 |  identifier integer float                                          |  closeBrace
FuncParamsRests_            |  comma                                                             |  closeBrace
InheritedClasses_           |  comma                                                             |  openCurlyBrace
CompareOp_                  |  equalEqual lesserGreater lesser greater lesserEqual greaterEqual  |  intNum floatNum openBrace not identifier plus minus
VarDecls_                   |  identifier integer float                                          |  do
ArithExpr_                  |  intNum floatNum openBrace not identifier plus minus               |  equalEqual lesserGreater lesser greater lesserEqual greaterEqual closeSquareBrace semiColon comma closeBrace
Sign_                       |  plus minus                                                        |  intNum floatNum openBrace not identifier plus minus
VarOrFuncCall_              |  openBrace period openSquareBrace                                  |  asterix fwdSlash and plus minus or equalEqual lesserGreater lesser greater lesserEqual greaterEqual closeSquareBrace semiColon comma closeBrace
FactorVar_                  |  period                                                            |  asterix fwdSlash and plus minus or equalEqual lesserGreater lesser greater lesserEqual greaterEqual closeSquareBrace semiColon comma closeBrace
FactorFuncCall_             |  period                                                            |  asterix fwdSlash and plus minus or equalEqual lesserGreater lesser greater lesserEqual greaterEqual closeSquareBrace semiColon comma closeBrace
VarFuncCall_                |  identifier                                                        |  asterix fwdSlash and plus minus or equalEqual lesserGreater lesser greater lesserEqual greaterEqual closeSquareBrace semiColon comma closeBrace
Term_                       |  intNum floatNum openBrace not identifier plus minus               |  plus minus or equalEqual lesserGreater lesser greater lesserEqual greaterEqual closeSquareBrace semiColon comma closeBrace
MultOp_                     |  asterix fwdSlash and                                              |  intNum floatNum openBrace not identifier plus minus
Factor_                     |  intNum floatNum openBrace not identifier plus minus               |  asterix fwdSlash and plus minus or equalEqual lesserGreater lesser greater lesserEqual greaterEqual closeSquareBrace semiColon comma closeBrace
